,experiments
,4.47
,4.52
,4.48
,4.42
,4.43
,4.43
,4.53
,4.53
,4.39
,4.54
,5.10
,4.47
,4.70
,4.48
,4.72
,4.47
,4.51
,4.47
,4.52
,4.49
,4.61
,4.87
,4.16
,4.46
